Name;C;C#;D;D#;E;F;F#;G;G#;A;A#;B;comments
Equal;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000; 12 quints reduced by 1/12 Pythagorean comma each.
Just Intonation;15.641;27.372;19.551;31.282;1.956;13.686;5.864;17.596;29.327;0.000;33.237;3.910; Sometimes known as Ptolemaic Chromatic, or Naturaly Harmonious (Barbour, Schugk), in the base "C" rotation works for C-major: perfect pitch for C-major, G-major, F-major, all other terribly out of tune.
Pythagorean;-5.865;7.820;-1.955;-11.730;1.955;-7.820;5.865;-3.910;9.775;0.000;-9.775;3.910; all quints pure except one, pythagorean comma placed between G#- D#, rotation shifts it anywhere you want. Thirds do not work well in this temperament.
Grammateus (1518);-5.865;-3.910;-1.955;0.000;1.955;-7.820;-5.865;-3.910;-1.955;0.000;-9.775;3.910; Pythagorean comma split in two parts, applied between B-F# and Eb-Bb (base rotation C).
Schlick (Vogel);8.211;-6.256;2.737;2.346;-2.737;10.948;-8.211;5.474;-4.301;0.000;8.993;-5.474; reconstruction of Schlick (1511) by Harald Vogel, 7 quints reduced by ca. 1/5 of pythagorean comma. Two enlarged by the same.
Meantone (-1/4);10.265;-13.686;3.422;20.530;-3.421;13.686;-10.265;6.843;-17.108;0.000;17.108;-6.843; 8 pure thirds, quints -1/4 syntonic comma except one "wolf quint" placed between G#-D# in the base rotation "C". First described with certainty by Pietro Aaron (1523).
Rameau (1726);10.265;-4.725;3.422;7.169;-3.422;13.686;-6.680;6.843;-2.770;0.000;17.108;-6.843; one possible reconstruction. Variant of Meantone (4 pure thirds), Rameau suggests seven quints from Bb narrowed by 1/4 synt. comma, next quints should be made "purer" and the remaining two wide to match the quint circle.
Ordinaire;11.730;-3.910;3.910;0.000;-3.910;7.820;-3.910;7.820;-3.910;0.000;3.910;-3.910; D'Alembert/Rousseau 1752/67 rendition of the French historical "Ordinaire" temperament. Four quints reduced by 1/4 Pythagorean comma, Four quints reduced by 1/12 and for quints enlarged by 1/12.
Valotti (Tartini);5.865;0.000;1.955;3.910;-1.955;7.820;-1.955;3.910;1.955;0.000;5.865;-3.910; Valotti's temperament as reported by G. Tartini, using Pythagorean comma fractions. Six quints reduced by 1/6 Pythagorean comma.
Valotti (orig.);4.888;0.651;1.629;4.561;-1.629;6.518;-1.304;3.259;2.606;0.000;6.516;-3.259; Valotti's historical temperament. 6 quints reduced by 1/6 syntonic comma, schisma placed on Bb-F.
Trost (1677);1.4;-1.5;3.3;-1.7;-1.6;3.9;0.7;-2.6;-5.2;0;5.3;-4.4; Not to be confused with the organbuilder Trost, this is Johann Caspar. Early attempt at well-tempered, 8 quints reduced by max. 1/4 Pythagorean comma, 4 quints enlarged by the same amount.
Werckmeister III;11.730;1.955;3.910;5.865;1.955;9.775;0.000;7.820;3.910;0.000;7.820;3.910; four quints reduced by 1/4 Pythagorean comma. Andreas Werckmeister, Erweiterte und verbesserte Orgel-Probe (1698), I. was theoretical just intonation with sub-semitonia, II. was the 1/4 meantone (alte, falsche, unrichtige Temperatur). 
Werckmeister IV;9.775;-7.820;5.865;3.910;1.955;7.820;-1.955;3.910;-5.865;0.000;13.685;-3.910; several quints reduced or augmented by 1/3 Pythagorean comma. Andreas Werckmeister, Erweiterte und verbesserte Orgel-Probe (1698), I. was theoretical just intonation with sub-semitonia, II. was the 1/4 meantone (alte, falsche or unrichtige Temperatur).
Werckmeister V;0.000;-3.910;3.910;0.000;-3.910;3.910;0.000;1.955;-7.820;0.000;1.955;-1.955; several quints reduced or augmented by 1/4 Pythagorean comma. Andreas Werckmeister, Erweiterte und verbesserte Orgel-Probe (1698), I. was theoretical just intonation with sub-semitonia, II. was the 1/4 meantone (alte, falsche or unrichtige Temperatur).
Silbermann (-1/6s);4.889;-6.517;1.630;9.777;-1.629;6.518;-4.888;3.259;-8.146;0.000;8.147;-3.258; reconstruction of G. Silbermann temperament, variant of 1/6 comma meantone. All quints narrowed by 1/6 syntonic comma, except one "wolf quint" Ab-Eb (in the default C rotation).
Silbermann (-1/6p);5.865;-7.820;1.955;11.730;-1.955;7.820;-5.865;3.910;-9.775;0.000;9.775;-3.910; reconstruction of G. Silbermann temperament, variant using fractions of the Pythagorean comma. All quints narrowed by 1/6 pythagorean comma, except one "wolf quint" Ab-Eb (in the default C rotation).
Kirnberger I;15.640;5.865;19.550;9.775;1.955;13.685;5.865;17.595;7.820;0.000;11.730;3.910; D-A lowered by a syntonic comma (terribly out of tune), and F#-C# reduced by a schisma. Kirnberger was a pupil of J. S. Bach.
Kirnberger II;4.888;-4.887;8.798;-0.977;-8.798;2.933;-4.888;6.843;-2.932;0.000;0.978;-6.843; Half syn. comma reduction applied to D-A and A-E, schisma to F#-C#. Easy to tune - most quints remain pure. This may be the reason for popularity of this awkward temperament. C major sounds rather out of tune. Kirnberger was a pupil of J. S. Bach.
Kirnberger III;10.264;0.489;3.421;4.399;-3.422;8.309;0.488;6.842;2.444;0.000;6.354;-1.467; quarter syn. comma reduction applied to C-G,G-C,D-A,A-E. Schism applied to F#-C#. Attempt to mitigate the C major chord. Kirnberger was a pupil of J. S. Bach.
Bach (Kellner, 1977);8.211;-1.564;2.737;2.346;-2.737;6.256;-3.519;5.474;0.391;0.000;4.301;-0.782; modern reconstruction by Herbert Anton Kellner, "Eine Rekonstruktion der wohltemperierten Stimmung von Johann Sebastian Bach" 1977. Five quints narrowed by 1/5 Pythagorean comma.
Neidhardt I Kleine Stadt;5.865;0.000;1.955;1.955;-1.955;3.910;-1.955;3.910;1.955;0.000;1.955;-1.955; Kleine Stadt 1732 (Tertiarum Circulus II), Dorf 1724, notation "I" from Barbour 1951.
Neidhardt II Grosse Stadt 1732;5.865;1.955;1.955;3.910;0.000;5.865;1.955;3.910;1.955;0.000;5.865;1.955; Grosse Stadt 1732 (Quintarum Circulus VIII), Kleine Stadt 1724, notation "II" from Barbour 1951.
Neidhardt III Grosse Stadt 1724;5.865;1.955;1.955;3.910;0.000;3.910;1.955;3.910;1.955;0.000;3.910;1.955; Grosse Stadt 1724, Altenburg Castle Original Organ Temperament, not reproduced in Neidhardt 1732, notation "III" from Barbour 1951.
Neidhardt Hof (=Equal);0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000; Hof 1724+1732, = Equal, 1732 (Quintarum Circulus I)
Neidhardt Dorf;5.865;0.000;3.910;1.955;-3.910;3.910;-1.955;5.865;0.000;0.000;3.910;-1.955; Dorf 1732, (Tertiarum Circulus I)
Neidhardt 3rd Cycle III;3.910;0.000;0.000;0.000;-1.955;3.910;1.955;1.955;0.000;0.000;5.865;-3.910; Another example from 1732 (Tertiarum Circulus III)
Neidhardt 5th Cycle V;5.865;0.000;3.910;3.910;-1.955;3.910;1.955;1.955;1.955;0.000;1.955;0.000; Another example from 1732 (Quintarum Circulus X)
Sorge (1758); 5.865;1.955;1.955;3.910;0.000;3.910;1.955;3.910;3.910;0.000;3.910;1.955 ;Temperamentum inequale modernum. Several fifths reduced by 1/6 or 1/12 Pyth. comma. An attempt to modernize "old" Silbermann's temperament, G. A. Sorge, Zuverlaessige Anweisung, Claviere und Orgeln... (1758).
Sorge (1744 I);11.730;1.955;3.910;5.865;-3.910;9.775;0.000;7.820;3.910;0.000;7.820;-1.955; four quints reduced by 1/4 Pyth. comma. Rest pure quints. G. A. Sorge, Anweisung zur Stimmung und Temperatur sowohl der Orgelwerke ... (1744).
Sorge (1744 II);3.910;1.955;0.000;5.865;0.000;5.865;1.955;1.955;3.910;0.000;5.865;1.955; Quints reduced by 1/12 or 1/6 Pyth. comma. Three pure quints. G. A. Sorge, Anweisung zur Stimmung und Temperatur sowohl der Orgelwerke ... (1744).
Sorge (1744 III); 5.865;0.000;1.955;3.910;1.955;3.910;0.000;3.910;1.955;0.000;3.910;0.000; Quints reduced by 1/12 or 1/6 Pyth. comma. Four pure quints. G. A. Sorge, Anweisung zur Stimmung und Temperatur sowohl der Orgelwerke ... (1744).
